# Card Name;Card Type;Card Placement;Card Dice;Set
Abundance;Ready Spell;Illusion;Master Set;3
Anchornaut;Ally;Basic;Master Set;3
Aradel Summergaard;Phoenixborn;Natural;Master Set;1
Blood Archer;Ally;Ceremonial/Charm;Master Set;3
Blood Puppet;Conjuration;Basic;Master Set;5
Blood Shaman;Ally;Ceremonial;Master Set;3
Blood Transfer;Ready Spell;Charm/Ceremonial;Master Set;3
Blue Jaguar;Conjuration;Aradel Summergaard;Master Set;2
Bound Soul;Action Spell;Ceremonial;Master Set;3
Butterfly Monk;Conjuration;;Master Set;2
Call Upon the Realms;Action Spell;;Master Set;3
Chant of Revenge;Ready Spell;Ceremonial;Master Set;3
Close Combat;Action Spell;Natural;Master Set;3
Coal Roarkwin;Phoenixborn;;Master Set;1
Cover;Reaction Spell;Natural;Master Set;3
Cut the Strings;Ready Spell;Ceremonial;Master Set;3
Empower;Ready Spell;Natural/Sympathy;Master Set;3
Enchanted Violinist;Ally;Charm;Master Set;3
Expand Energy;Action;Basic;Master Set;3
Fade Away;Alteration;Illusion;Master Set;3
False Demon;Conjuration;;Master Set;2
Fear;Action Spell;Basic/Jessa Na Ni;Master Set;3
Final Cry;Reaction Spell;Ceremonial;Master Set;3
Gilder;Conjuration;;Master Set;2
Golden Veil;Reaction;Charm;Master Set;3;Chained
Hammer Knight;Ally;Ceremonial/Nature;Master Set;3
Hidden Power;Action;Illusion;Master Set;3
Hypnotize;Ready;Charm;Master Set;3;Chained
Iron Rhino;Conjuration;;Master Set;1
Iron Worker;Ally;Basic;Master Set;3
Jessa Na Ni;Phoenixborn;;Master Set;1
Living Doll;Ally;Ceremonial;Master Set;3
Maeoni Viper;Phoenixborn;;Master Set;1
Masked Wolf;Conjuration;Noah Redmoon;Master Set;5
Massive Growth;Alteration;Natural;Master Set;3
Mist Spirit;Conjuration;;Master Set;10
Mist Typhoon;Action;Illusion/Natural;Master Set;3
Molten Gold;Action;Natural;Master Set;3
Noah Redmoon;Phoenixborn;;Master Set;1
One Hundred Blades;Action;Coal Roarkwin;Master Set;3
