Ira, Crimson Haze;Hero;Ninja;Young;IRA001-P/TCC077-C/HER000-P/CRU046-C/1HP089-C;0
Edge of Autumn;Weapon;Ninja;Sword/2H;TCC078-R/IRA002-P/CRU050-R/ASR002-R/1HP090-R;0
Flying Kick (red);Action;Ninja;Attack;TCC085-C/IRA007-P/CRU063-C/ASR009-C;0
Scar for a Scar (red);Action;Generic;Attack;1HP396-C/AGB012-C/ANQ030-G/ASR011-C/FAB015-P/IRA009-P/KAT015-C/KSU017-C/SBA019-C/SDO011-C/SEA218-C/SFA024-C/UPR209-C/WTR191-C;0
Torrent of Tempo (red);Action;Ninja;Attack;1HP128-C/ASR015-C/CRU069-C/IRA006-P;0
Bittering Thorns (yellow);Action;Ninja;Attack;1HP134-C/CRU072-C/IRA005-P/TCC092-C;0
Salt the Wound (yellow);Action;Ninja;Attack;1HP135-C/BEN020-C/CRU073-C/IRA004-P/SFA030-C/TCC096-C;0
Springboard Somersault (yellow);Action;Generic;Defense Reaction;1HP374-R/BVO015-C/CRU187-R/IRA012-P/KSU021-C/RNR022-C/SBL033-R/SDO023-R/SEN020-R/TEA019-C;0
Whirling Mist Blossom (yellow);Action;Ninja;Attack;1HP136-C/ASR019-C/CRU074-C/IRA003-P;0
Brutal Assault (blue);Action;Generic;Attack;CRU194-C/IRA010-P;0
Head Jab (blue);Action;Ninja;Attack;BEN024-C/IRA008-P/KAT022-C/KSU023-C/LGS019-P/OUT079-C/WTR100-C;0
Lunging Press (blue);Attack Reaction;Generic;;BEN026-C/BET022-C/CRU186-R/HVY234-C/IRA011-P/KAT026-C/KSU028-C;0
