COUNT    | LINE
-----------------------------------------------------
      35 | Missing item (Daigotsu Hotako - exp3) - fix in decks
      33 | Missing item (Know No Fear)
      33 | Missing item (Serenity in Air)
      33 | Missing item (The New Order)
      30 | Missing item (Cast Aside the Weak)
      30 | Missing item (Grateful Reward)
      30 | Missing item (Pure Intent)
      30 | Missing item (Temples of Gisei Toshi)
      29 | Missing item (Fukuzo - exp)
      29 | Missing item (Usurpation)
      28 | Missing item (Silk Works)
      27 | Missing item (Moto Naleesh)
      26 | Missing item (Closing the Gap)
      26 | Missing item (Enlistment)
      26 | Missing item (The Dark Naga)
      26 | Missing item (Wyrmbone Katana)
      25 | Missing item (Effortless Counterattack)
      25 | Missing item (Glory of the Shogun)
      24 | Missing item (Hidden Defenses)
      24 | Missing item (Imperial Summons)
      23 | Missing item (Brawl)
      23 | Missing item (Merchant Atoll)
      23 | Missing item (Shinden Shorai)
      23 | Missing item (Temple of the Heavenly Crab)
      23 | Missing item (The Second City)
      22 | Missing item (Clash of Blades)
      22 | Missing item (Ekichu no Oni)
      22 | Missing item (Times of Strife)
      21 | Missing item (Secluded Waystation)
      21 | Missing item (Shadow Dragon - exp2)
      21 | Missing item (Undetectable Enemy)
      20 | Missing item (Slave Pits)
      20 | Missing item (The Heir's Wrath)
      19 | Missing item (Holding Cells)
      19 | Missing item (Improper Papers)
      19 | Missing item (Rewards of Experience)
      19 | Missing item (Takasho)
      19 | Missing item (The Forgotten Temple)
      19 | Missing item (The Imperial Treasury)
      18 | Missing item (Akodo Kenaro)
      18 | Missing item (Akodo Raikitsu)
      18 | Missing item (Bountiful Fields)
      18 | Missing item (Fudoist Temple)
      18 | Missing item (Gozaru no Oni)
      18 | Missing item (Heart of Darkness)
      18 | Missing item (Honored Sensei)
      18 | Missing item (Stolen Merchandise)
      18 | Missing item (The Hidden Bastion of the Spider)
      18 | Missing item (Utaku Ji-Yun)
      18 | Missing item (Utaku Mai)
      17 | Missing item (Kitsu Watanabe)
      17 | Missing item (Meditating Mind)
      17 | Missing item (Ninube Onchi)
      17 | Missing item (Utaku Liu Xeung - exp)
      17 | Missing item (Utaku Ryoko)
      16 | Missing item (Akodo Taiketsu)
      16 | Missing item (Aranai's Armor)
      16 | Missing item (Betrayed from Within)
      16 | Missing item (Caught Unawares)
      16 | Missing item (Colonial Harbor)
      16 | Missing item (Daigotsu Kanpeki - exp)
      16 | Missing item (Feinting Maneuver)
      16 | Missing item (Jade Pearl Inn)
      16 | Missing item (Open Ground)
      16 | Missing item (Recruitment Officer)
      16 | Missing item (Siege Volley)
      16 | Missing item (Skipping the Puddle)
      16 | Missing item (Staging Grounds)
      16 | Missing item (The Height of Courage)
      16 | Missing item (The Seekers' Temple)
      16 | Missing item (Tonfajutsu)
      15 | Missing item (Absolution)
      15 | Missing item (Brazen Disregard)
      15 | Missing item (Carpenter Shrine)
      15 | Missing item (Kitsu Suzaki)
      15 | Missing item (Near Miss)
      15 | Missing item (Overwhelming Offense)
      15 | Missing item (Progressive)
      15 | Missing item (The Blessed Mantle of the Greensnakes)
      15 | Missing item (The Shadow's Lair)
      15 | Missing item (Walking with the Water)
      15 | Missing item (Weakness Exposed)
      14 | Missing item (Deep Roots)
      14 | Missing item (Favors)
      14 | Missing item (Forgotten Outpost)
      14 | Missing item (Hida Kozan, Voice of the Empress)
      14 | Missing item (Hidden Reserves)
      14 | Missing item (Kagako Sensei)
      14 | Missing item (Kitsu Suki)
      14 | Missing item (Marketplace)
      14 | Missing item (Mysterious Deaths)
      14 | Missing item (Nakanu Technique)
      14 | Missing item (Otomo Demiyah)
      14 | Missing item (Second City Dojo)
      14 | Missing item (Steel Soul Dojo)
      14 | Missing item (The Fruitful Port of the Mantis)
      14 | Missing item (Utaku Eun-ju)
      14 | Missing item (Yamazaki)
      13 | Missing item (Akodo Dairuko, the Steel Lion)
      13 | Missing item (Akodo Kenaro • Experienced)
      13 | Missing item (Akodo Yuyama)
      13 | Missing item (Benten's Blessing)
      13 | Missing item (Control)
      13 | Missing item (Daigotsu Aya)
      13 | Missing item (Daigotsu Ishibashi)
      13 | Missing item (Daigotsu Teruo)
      13 | Missing item (Desperate Sacrifice)
      13 | Missing item (Natural Aviary)
      13 | Missing item (Oblivious)
      13 | Missing item (On)
      13 | Missing item (Otomo Terumoto)
      13 | Missing item (Seeking the Way)
      13 | Missing item (Silver Mine)
      13 | Missing item (Strength in Terror)
      13 | Missing item (Supply Smugglers)
      13 | Missing item (Taishuu - exp)
      13 | Missing item (Temple Fortress)
      13 | Missing item (The Deciding Moment)
      13 | Missing item (The Endless Plains of the Unicorn)
      13 | Missing item (The Fortified Monastery of the Dragon)
      13 | Missing item (The Majestic Temple of the Phoenix)
      13 | Missing item (Tsuruchi Daikyu)
      12 | Missing item (Akodo Toshigure)
      12 | Missing item (An Honored Guest)
      12 | Missing item (Awakened Naginata)
      12 | Missing item (Black Pearl - exp)
      12 | Missing item (Brilliant Cascade Inn)
      12 | Missing item (Lookout Post)
      12 | Missing item (Merchant Outpost)
      12 | Missing item (Platinum Mine)
      12 | Missing item (Raido no Oni)
      12 | Missing item (Sparrow Clan Aide)
      12 | Missing item (The Pearl-Encrusted Staff of the Cobras - exp)
      12 | Missing item (The Red Hunger)
      12 | Missing item (The Wall is Breached)
      12 | Missing item (Utaku Tsukiko)
      12 | Missing item (Vigilant Eyes)
      11 | Missing item (Akodo Naotaka)
      11 | Missing item (Blade of Champions)
      11 | Missing item (Bookkeeper)
      11 | Missing item (Brothers in Battle)
      11 | Missing item (Daigotsu Gyoken - exp2)
      11 | Missing item (Daigotsu Murota)
      11 | Missing item (Daigotsu Rafu)
      11 | Missing item (Fruitless Search)
      11 | Missing item (Gakku - exp)
      11 | Missing item (Ideological Differences)
      11 | Missing item (Ikoma Ichimoko)
      11 | Missing item (Inexorable)
      11 | Missing item (Ivory Ascendance)
      11 | Missing item (Kitsu Miro)
      11 | Missing item (Kobune Port)
      11 | Missing item (Low Market)
      11 | Missing item (Luxurious Silk)
      11 | Missing item (Niiro no Oni)
      11 | Missing item (Plains of the Maiden)
      11 | Missing item (Precision)
      11 | Missing item (Settling the Homeless)
      11 | Missing item (Shinjo's Guidance - exp)
      11 | Missing item (Tonbo Jairyu)
      10 | Missing item (A Good Death)
      10 | Missing item (Battlefield Challenge)
      10 | Missing item (Cursed Relic)
      10 | Missing item (Daigotsu Miki)
      10 | Missing item (Daigotsu Negishi)
      10 | Missing item (Fubatsu Blade)
      10 | Missing item (Goju Kenteiru)
      10 | Missing item (Guidance in War)
      10 | Missing item (Heavy Infantry Dojo)
      10 | Missing item (In Stillness, Forge the Soul)
      10 | Missing item (Iuchi Abodan)
      10 | Missing item (Kitsu Asato)
      10 | Missing item (Large Farm)
      10 | Missing item (Matsu Tayuko)
      10 | Missing item (Murderous Intent)
      10 | Missing item (Otomo Bureaucrat)
      10 | Missing item (Relentless Conviction)
      10 | Missing item (Return to Your Feet)
      10 | Missing item (Revenge)
      10 | Missing item (Sankaku-Yari)
      10 | Missing item (Seijuro Sensei)
      10 | Missing item (Shiba Jouta - exp)
      10 | Missing item (Shosuro Aroru - exp2)
      10 | Missing item (Spider Elite Sohei)
      10 | Missing item (Strength in Subtlety)
      10 | Missing item (Temple of Tengen)
      10 | Missing item (The Abbot)
      10 | Missing item (The Esteemed Palace of the Crane)
      10 | Missing item (The Thriving Light)
       9 | Missing item (Bayushi Akagi)
       9 | Missing item (Bo of Ritual Blessings)
       9 | Missing item (Brilliant Artisan)
       9 | Missing item (Daigotsu Tenbatsu)
       9 | Missing item (Gaining Advantage)
       9 | Missing item (Geisha House)
       9 | Missing item (Goju Yurishi)
       9 | Missing item (Hundred-Fold Cut)
       9 | Missing item (Iron Will)
       9 | Missing item (Iuchi Chiwa)
       9 | Missing item (Iuchi Kota - exp)
       9 | Missing item (Iuchi Yupadi)
       9 | Missing item (Jungle Stockade)
       9 | Missing item (Mark of Heaven's Favor)
       9 | Missing item (Moto House Guard)
       9 | Missing item (Moto Ming-Gwok)
       9 | Missing item (Moto Xiao - exp)
       9 | Missing item (Nosloc no Oni)
       9 | Missing item (Overcome Adversity)
       9 | Missing item (Rich Vein)
       9 | Missing item (Rugashi Bazaar)
       9 | Missing item (Scouring Flood)
       9 | Missing item (Secluded Outpost)
       9 | Missing item (Shinjo Min-Hee)
       9 | Missing item (Shinsei's Last Hope - exp)
       9 | Missing item (Streets of the Second City)
       9 | Missing item (Test of Character)
       9 | Missing item (The Eternal Chase)
       9 | Missing item (The Temple of Death - exp)
       9 | Missing item (Unstoppable Strike)
       9 | Missing item (Yajinden Sensei)
       8 | Missing item (Avenge Your Slights)
       8 | Missing item (Carpenter shrine)
       8 | Missing item (Claw and Shell)
       8 | Missing item (Counting house)
       8 | Missing item (Ending the Chase)
       8 | Missing item (Flooded Pass)
       8 | Missing item (Forgotten legacy)
       8 | Missing item (Gift Armor)
       8 | Missing item (Hidden Machinations)
       8 | Missing item (Indifference)
       8 | Missing item (Izuna Sensei)
       8 | Missing item (Journey's End Keep)
       8 | Missing item (Ki-Rin's Shrine • Experienced 2)
       8 | Missing item (Lion Ancestor)
       8 | Missing item (Looming Danger)
       8 | Missing item (Methodical Questioning)
       8 | Missing item (Moto Rani)
       8 | Missing item (Mounted Support)
       8 | Missing item (Pearls & Spirits)
       8 | Missing item (Razorfang)
       8 | Missing item (Renewal)
       8 | Missing item (Repairing the Walls)
       8 | Missing item (Rumors Travel)
       8 | Missing item (Sanctioned Declaration)
       8 | Missing item (Sandayu)
       8 | Missing item (Seat of Power)
       8 | Missing item (Seppun Ritisharu)
       8 | Missing item (Shikaro)
       8 | Missing item (Sly Deceiver)
       8 | Missing item (Startling Kiai)
       8 | Missing item (Steel on Steel)
       8 | Missing item (Strike of the Obsidian Blade)
       8 | Missing item (Suana dojo)
       8 | Missing item (Suikihime's Chambers)
       8 | Missing item (The Shakash)
       8 | Missing item (The Unassailable Fortress of the Crab)
       8 | Missing item (Too Close to Home)
       8 | Missing item (Tsi Blade)
       8 | Missing item (Utaku Sung-Ki)
       8 | Missing item (Voice of Experience)
       8 | Missing item (Wall of Honor)
       8 | Missing item (Yoritomo Shotsuo)
       8 | Missing item (Yoritomo Yakuwa)
       7 | Missing item (A good Death)
       7 | Missing item (Ashigaru Farmland)
       7 | Missing item (Auspicious Arrival)
       7 | Missing item (Channeling the Fallen)
       7 | Missing item (Charter of the Legion of Two Thousand)
       7 | Missing item (Coward!)
