# Fixes L5R Card Games - in DB name; Format; Name in Format
Agasha Kyokuta, Soul of Agasha Yuhiko;A Brother's Destiny (Ivory Edition);Agasha Kyokuta
Agasha Kyokuta, Soul of Agasha Yuhiko;A Brother's Destiny (Twenty Festivals);Agasha Kyokuta
Agasha Kyokuta, Soul of Agasha Yuhiko;Modern;Agasha Kyokuta
Chuda Tairao, Soul of Chuda Rintaro;A Brother's Destiny (Ivory Edition);Tairao
Chuda Tairao, Soul of Chuda Rintaro;A Brother's Destiny (Twenty Festivals);Tairao
Chuda Tairao, Soul of Chuda Rintaro;Modern;Tairao
Daigotsu Geiko, Soul of Daigotsu Keigo;A Brother's Destiny (Ivory Edition);Daigotsu Geiko
Daigotsu Geiko, Soul of Daigotsu Keigo;A Brother's Destiny (Twenty Festivals);Daigotsu Geiko
Daigotsu Geiko, Soul of Daigotsu Keigo;Modern;Daigotsu Geiko
Daigotsu Roburo, Soul of Daigotsu Bundoru;A Brother's Destiny (Ivory Edition);Daigotsu Roburo
Daigotsu Roburo, Soul of Daigotsu Bundoru;A Brother's Destiny (Twenty Festivals);Daigotsu Roburo
Daigotsu Roburo, Soul of Daigotsu Bundoru;Modern;Daigotsu Roburo
