COUNT    | LINE
-----------------------------------------------------
      27 | Missing card Elesh Norn, Grand Cenobite
      27 | Missing card Etali, Primal Storm
      23 | Missing card Elspeth, Sun's Champion
      22 | Missing card Heliod, Sun-Crowned
      18 | Missing card Mondrak, Glory Dominus
      18 | Missing card Selvala, Heart of the Wilds
      18 | Missing card The Eternal Wanderer
      18 | Missing card Torbran, Thane of Red Fell
      17 | Missing card Tezzeret the Seeker
      17 | Missing card Urza, Lord High Artificer
      16 | Missing card Avacyn, Angel of Hope
      16 | Missing card Birgi, God of Storytelling
      16 | Missing card Kediss, Emberclaw Familiar
      15 | Missing card Karlach, Fury of Avernus
      15 | Missing card Krenko, Tin Street Kingpin
      15 | Missing card Linvala, Keeper of Silence
      15 | Missing card Neheb, the Eternal
      14 | Missing card Castle Garenbrig
      14 | Missing card Three Tree City
      13 | Missing card Beastmaster Ascension
      13 | Missing card Charismatic Conqueror
      13 | Missing card Daretti, Scrap Savant
      13 | Missing card Elixir of Immortality
      13 | Missing card Guide of Souls
      13 | Missing card Innkeeper's Talent
      13 | Missing card Kutzil, Malamet Exemplar
      13 | Missing card Ledger Shredder
      13 | Missing card Magus of the Wheel
      13 | Missing card Mass Calcify
      13 | Missing card Monumental Henge
      13 | Missing card Pyretic Ritual
      13 | Missing card Rite of Flame
      13 | Missing card Tarrian's Soulcleaver
      13 | Missing card Vesuva
      13 | Missing card Winter Moon
      13 | Missing card Wizard Class
      12 | Missing card Brotherhood Regalia
      12 | Missing card Descent into Avernus
      12 | Missing card Eerie Interlude
      12 | Missing card Excalibur, Sword of Eden
      12 | Missing card Fanatic of Rhonas
      12 | Missing card Field of the Dead
      12 | Missing card Leyline of Anticipation
      12 | Missing card Martial Coup
      12 | Missing card Ocelot Pride
      12 | Missing card Parallel Lives
      12 | Missing card Rivendell
      12 | Missing card Sundown Pass
      12 | Missing card Teferi, Master of Time
      12 | Missing card Thalia, Heretic Cathar
      12 | Missing card Tribute to the World Tree
      12 | Missing card Xorn
      11 | Missing card Blue Sun's Zenith
      11 | Missing card Bonehoard Dracosaur
      11 | Missing card Borne Upon a Wind
      11 | Missing card Brave the Sands
      11 | Missing card Caduceus, Staff of Hermes
      11 | Missing card Delayed Blast Fireball
      11 | Missing card Delney, Streetwise Lookout
      11 | Missing card Deserted Beach
      11 | Missing card Drumbellower
      11 | Missing card Fiery Islet
      11 | Missing card Hazoret's Monument
      11 | Missing card Heraldic Banner
      11 | Missing card Horizon Canopy
      11 | Missing card Imprisoned in the Moon
      11 | Missing card Kami of Whispered Hopes
      11 | Missing card Magda, Brazen Outlaw
      11 | Missing card Mistveil Plains
      11 | Missing card Mystic Gate
      11 | Missing card Nettlecyst
      11 | Missing card Nexus of Fate
      11 | Missing card Oswald Fiddlebender
      11 | Missing card Patchwork Banner
      11 | Missing card Return of the Wildspeaker
      11 | Missing card Smuggler's Share
      11 | Missing card Strionic Resonator
      11 | Missing card Toski, Bearer of Secrets
      11 | Missing card Treasonous Ogre
      11 | Missing card True Conviction
      11 | Missing card Ugin, the Spirit Dragon
      11 | Missing card Valakut Exploration
      11 | Missing card Waterlogged Grove
      10 | Missing card Bennie Bracks, Zoologist
      10 | Missing card Bitterthorn, Nissa's Animus
      10 | Missing card Brave the Elements
      10 | Missing card Champion of Lambholt
      10 | Missing card Clock of Omens
      10 | Missing card Decanter of Endless Water
      10 | Missing card Defiler of Faith
      10 | Missing card Diamond Pick-Axe
      10 | Missing card Dolmen Gate
      10 | Missing card Eidolon of Rhetoric
      10 | Missing card Ethersworn Canonist
      10 | Missing card Flagstones of Trokair
      10 | Missing card Flare of Duplication
      10 | Missing card Flowering of the White Tree
      10 | Missing card Glittering Stockpile
      10 | Missing card God-Pharaoh's Statue
      10 | Missing card Honor of the Pure
      10 | Missing card Jin-Gitaxias, Progress Tyrant
      10 | Missing card Laelia, the Blade Reforged
      10 | Missing card Lion Sash
      10 | Missing card Lizard Blades
      10 | Missing card Mizzium Mortars
      10 | Missing card Mutavault
      10 | Missing card Nyxbloom Ancient
      10 | Missing card Omniscience
      10 | Missing card Ravnica at War
      10 | Missing card Razorgrass Ambush
      10 | Missing card Reckless Handling
      10 | Missing card Restoration Angel
      10 | Missing card Scattered Groves
      10 | Missing card Scrawling Crawler
      10 | Missing card Sejiri Shelter
      10 | Missing card Settle the Wreckage
      10 | Missing card Staff of the Storyteller
      10 | Missing card Sting, the Glinting Dagger
      10 | Missing card Suture Priest
      10 | Missing card Teshar, Ancestor's Apostle
      10 | Missing card The Immortal Sun
      10 | Missing card Training Grounds
      10 | Missing card Twinflame Tyrant
      10 | Missing card Urabrask the Hidden
      10 | Missing card Valley Floodcaller
      10 | Missing card Wheel of Misfortune
       9 | Missing card Barkchannel Pathway
       9 | Missing card Bident of Thassa
       9 | Missing card Branching Evolution
       9 | Missing card Brass Squire
       9 | Missing card Call the Coppercoats
       9 | Missing card Cleric Class
       9 | Missing card Clever Impersonator
       9 | Missing card Cloudshift
       9 | Missing card Disrupt Decorum
       9 | Missing card Dragon's Rage Channeler
       9 | Missing card Emeria Shepherd
       9 | Missing card Explore
       9 | Missing card Felidar Guardian
       9 | Missing card Goreclaw, Terror of Qal Sisma
       9 | Missing card Guardian Project
       9 | Missing card Horizon of Progress
       9 | Missing card Illusionist's Bracers
       9 | Missing card Inkmoth Nexus
       9 | Missing card Jhoira's Familiar
       9 | Missing card Krosan Grip
       9 | Missing card Mines of Moria
       9 | Missing card Molten Duplication
       9 | Missing card Ohran Frostfang
       9 | Missing card Old Gnawbone
       9 | Missing card Reclamation Sage
       9 | Missing card Reverberate
       9 | Missing card Semblance Anvil
       9 | Missing card Spear of Heliod
       9 | Missing card Talrand, Sky Summoner
       9 | Missing card Tezzeret, Cruel Captain
       9 | Missing card Tireless Provisioner
       9 | Missing card Ugin, the Ineffable
       9 | Missing card Vanquisher's Banner
       9 | Missing card Vexing Shusher
       9 | Missing card Warstorm Surge
       9 | Missing card White Sun's Twilight
       9 | Missing card Zealous Conscripts
       8 | Missing card Baral, Chief of Compliance
       8 | Missing card Battle Angels of Tyr
       8 | Missing card Cathartic Reunion
       8 | Missing card Chromatic Orrery
       8 | Missing card Combat Celebrant
       8 | Missing card Court of Grace
       8 | Missing card Deadeye Navigator
       8 | Missing card Delina, Wild Mage
       8 | Missing card Dictate of the Twin Gods
       8 | Missing card Door of Destinies
       8 | Missing card Dwarven Mine
       8 | Missing card Eldrazi Conscription
       8 | Missing card Feldon of the Third Path
       8 | Missing card Felidar Sovereign
       8 | Missing card Flesh Duplicate
       8 | Missing card Galadriel's Dismissal
       8 | Missing card Ghirapur Orrery
       8 | Missing card Gift of Immortality
       8 | Missing card Glen Elendra Archmage
       8 | Missing card Humble Defector
       8 | Missing card Hushbringer
       8 | Missing card Jaxis, the Troublemaker
       8 | Missing card Koth, Fire of Resistance
       8 | Missing card Mech Hangar
       8 | Missing card Mystic Confluence
       8 | Missing card Nimbus Maze
       8 | Missing card Open the Way
       8 | Missing card Padeem, Consul of Innovation
       8 | Missing card Palladium Myr
       8 | Missing card Past in Flames
       8 | Missing card Plargg and Nassari
       8 | Missing card Riverglide Pathway
       8 | Missing card Sea Gate Restoration // Sea Gate, Reborn
       8 | Missing card Slip Out the Back
       8 | Missing card Solemnity
       8 | Missing card Spellskite
       8 | Missing card Stormcarved Coast
       8 | Missing card Stuffy Doll
       8 | Missing card Sunblast Angel
       8 | Missing card Sword of Wealth and Power
       8 | Missing card Teferi, Temporal Pilgrim
       8 | Missing card Teleportation Circle
       8 | Missing card Thassa, Deep-Dwelling
       8 | Missing card Tormenting Voice
       8 | Missing card Umbral Mantle
       8 | Missing card Utvara Hellkite
       8 | Missing card Venser, Shaper Savant
       8 | Missing card Your Temple Is Under Attack
       7 | Missing card Alexios, Deimos of Kosmos
       7 | Missing card Ancient Greenwarden
       7 | Missing card Ao, the Dawn Sky
       7 | Missing card Ardenn, Intrepid Archaeologist
       7 | Missing card Battle Hymn
       7 | Missing card Bridgeworks Battle
       7 | Missing card Brilliant Restoration
       7 | Missing card Cloud, Midgar Mercenary
       7 | Missing card Council's Judgment
       7 | Missing card Cragcrown Pathway
       7 | Missing card Cultivator Colossus
       7 | Missing card Defiler of Instinct
       7 | Missing card Delay
       7 | Missing card Dreamtide Whale
       7 | Missing card Dualcaster Mage
       7 | Missing card Duelist's Heritage
       7 | Missing card Enter the Enigma
       7 | Missing card Entish Restoration
       7 | Missing card Fear of Missing Out
       7 | Missing card Forsaken Monument
       7 | Missing card Glimpse the Impossible
       7 | Missing card Grasp of Fate
       7 | Missing card Great Train Heist
       7 | Missing card Heliod's Intervention
       7 | Missing card Hengegate Pathway
       7 | Missing card Hunter's Insight
       7 | Missing card Jacked Rabbit
       7 | Missing card Jin-Gitaxias, Core Augur
       7 | Missing card Kenrith's Transformation
       7 | Missing card Koth of the Hammer
       7 | Missing card Last March of the Ents
       7 | Missing card Metastatic Evangel
       7 | Missing card Norn's Annex
       7 | Missing card Obelisk of Urd
       7 | Missing card Ominous Seas
       7 | Missing card Opal Palace
       7 | Missing card Oran-Rief, the Vastwood
       7 | Missing card Outcaster Trailblazer
       7 | Missing card Patriar's Seal
       7 | Missing card Pinnacle Monk // Mystic Peak
       7 | Missing card Prismatic Lens
       7 | Missing card Reveillark
       7 | Missing card Rising of the Day
       7 | Missing card Rumor Gatherer
       7 | Missing card Rune-Tail, Kitsune Ascendant // Rune-Tail's Essence
       7 | Missing card Sakashima of a Thousand Faces
       7 | Missing card Scourge of Valkas
       7 | Missing card Seize the Spotlight
       7 | Missing card Selfless Samurai
       7 | Missing card Shamanic Revelation
       7 | Missing card Sink into Stupor // Soporific Springs
       7 | Missing card Solphim, Mayhem Dominus
       7 | Missing card Sunspine Lynx
       7 | Missing card Surge of Salvation
       7 | Missing card Sword of Vengeance
       7 | Missing card Teferi's Ageless Insight
       7 | Missing card The Earth Crystal
       7 | Missing card The Reality Chip
       7 | Missing card Thran Power Suit
       7 | Missing card Tribute Mage
       7 | Missing card Triskaidekaphile
       7 | Missing card Trophy Mage
       7 | Missing card Tyrite Sanctum
       7 | Missing card Venser's Journal
       7 | Missing card Volatile Stormdrake
       7 | Missing card Walking Atlas
       7 | Missing card Wrenn's Resolve
       6 | Missing card Aerith Gainsborough
       6 | Missing card Aurelia, the Warleader
       6 | Missing card Autumn's Veil
       6 | Missing card Baird, Steward of Argive
       6 | Missing card Baneslayer Angel
       6 | Missing card Bloodline Pretender
       6 | Missing card Bloom Tender
       6 | Missing card Brought Back
       6 | Missing card Campfire
       6 | Missing card Captain of the Watch
       6 | Missing card Charming Prince
       6 | Missing card Codex Shredder
       6 | Missing card Codsworth, Handy Helper
       6 | Missing card Conclave Mentor
       6 | Missing card Contagion Engine
       6 | Missing card Containment Construct
       6 | Missing card Corrupted Conscience
       6 | Missing card Crash Through
       6 | Missing card Crime Novelist
       6 | Missing card Currency Converter
       6 | Missing card Emeria's Call
       6 | Missing card Endless Horizons
       6 | Missing card Enduring Vitality
       6 | Missing card Evolution Sage
       6 | Missing card Evolution Witness
       6 | Missing card Firemane Commando
       6 | Missing card Firion, Wild Rose Warrior
       6 | Missing card Flameshadow Conjuring
       6 | Missing card Flow of Knowledge
       6 | Missing card Flux Channeler
       6 | Missing card Folk Hero
       6 | Missing card Forensic Gadgeteer
       6 | Missing card Guardian of Faith
       6 | Missing card Hanweir Garrison
       6 | Missing card Harmonic Prodigy
       6 | Missing card Hellkite Charger
       6 | Missing card High Fae Trickster
       6 | Missing card Ichor Wellspring
       6 | Missing card Inferno Titan
       6 | Missing card Intangible Virtue
       6 | Missing card Jace's Archivist
       6 | Missing card Jin-Gitaxias
       6 | Missing card Kazuul's Fury // Kazuul's Cliffs
       6 | Missing card Khalni Ambush
       6 | Missing card Kindred Discovery
       6 | Missing card Kodama of the West Tree
       6 | Missing card Kona, Rescue Beastie
       6 | Missing card Leyline Axe
       6 | Missing card Liberator, Urza's Battlethopter
       6 | Missing card Liquimetal Coating
       6 | Missing card Luminarch Ascension
       6 | Missing card Machine God's Effigy
       6 | Missing card Magus of the Moat
       6 | Missing card March of Swirling Mist
       6 | Missing card Martyr's Bond
       6 | Missing card Mechanized Production
       6 | Missing card Mikaeus, the Lunarch
       6 | Missing card Miscast
       6 | Missing card Mistrise Village
       6 | Missing card Molten Echoes
       6 | Missing card Mossborn Hydra
       6 | Missing card Nibelheim Aflame
       6 | Missing card Niv-Mizzet, Parun
       6 | Missing card Nylea, Keen-Eyed
       6 | Missing card Odric, Lunarch Marshal
       6 | Missing card Orthion, Hero of Lavabrink
       6 | Missing card Phyrexian Censor
       6 | Missing card Pit of Offerings
       6 | Missing card Port Razer
       6 | Missing card Power Fist
       6 | Missing card Prowler's Helm
       6 | Missing card Psychic Corrosion
       6 | Missing card Rally the Ranks
       6 | Missing card Reckless Endeavor
       6 | Missing card Reckless Impulse
       6 | Missing card Remorseful Cleric
       6 | Missing card Replicating Ring
       6 | Missing card Requisition Raid
       6 | Missing card Roil Elemental
       6 | Missing card Sanctum of Eternity
       6 | Missing card Selvala, Explorer Returned
       6 | Missing card Shatterskull Smashing // Shatterskull, the Hammer Pass
       6 | Missing card Silundi Vision
       6 | Missing card Slip Through Space
       6 | Missing card Smuggler's Copter
       6 | Missing card Song of the Dryads
       6 | Missing card Soul Partition
       6 | Missing card Soul's Majesty
       6 | Missing card Soulless Jailer
       6 | Missing card Spectacular Showdown
       6 | Missing card Spectral Deluge
       6 | Missing card Spirited Companion
       6 | Missing card Splinter Twin
