________ Goblin;_____ Goblin
A Most Helpful Weaver;Origin of Spider-Man
A Trail of Teacups;Kraven's Last Hunt
Aang's Shelter;Teferi's Protection
Aang, at the Crossroads // Aang, Destined Savior;Aang, at the Crossroads
Aang, Swift Savior // Aang and La, Ocean's Fury;Aang, Swift Savior
Aclazotz, Deepest Betrayal // Temple of the Dead;Aclazotz, Deepest Betrayal
Ademi of the Silkchutes;Spectacular Spider-Man
Aerith's Curaga Magic;Heroic Intervention
Afflicted Deserter // Werewolf Ransacker;Afflicted Deserter
African Swallow;Birds of Paradise
Agadeem's Awakening // Agadeem, the Undercrypt;Agadeem's Awakening
Aggressive Symbiosis;Alien Symbiosis
Air Shoes;Swiftfoot Boots
Ajani, Nacatl Pariah // Ajani, Nacatl Avenger;Ajani, Nacatl Pariah
Akoum Warrior // Akoum Teeth;Akoum Warrior
Alenni, Brood Recruiter;Silk, Web Weaver
Alessos and Pras, Acrobats;Spider-Man India
All is Dust;All Is Dust
Alrund, God of the Cosmos // Hakka, Whispering Raven;Alrund, God of the Cosmos
Ambitious Farmhand // Seasoned Cathar;Ambitious Farmhand
Ancestral Carvings;Pictures of Spider-Man
Angler's Shield;Biorganic Carapace
Arachnomania;Spider-Verse
Arala, Hedron Scaler;Beetle, Legacy Criminal
Archangler's Skyrod;Web-Shooters
Ardyn Izunia;Varragoth, Bloodsky Sire
Arguel's Blood Fast // Temple of Aclazotz;Arguel's Blood Fast
Argyr, Tidal Spinner;Spider-Byte, Web Warden
Arlinn Kord // Arlinn, Embraced by the Moon;Arlinn Kord
Arlinn, the Pack's Hope // Arlinn, the Moon's Fury;Arlinn, the Pack's Hope
Assault / Battery;Assault // Battery
Assure/Assemble;Assure // Assemble
Astral Titan;Primeval Titan
Atsu, Ghost of Yōtei;Tetsuko Umezawa, Fugitive
Avabruck Caretaker // Hollowhenge Huntmaster;Avabruck Caretaker
Azor's Gateway // Sanctum of the Sun;Azor's Gateway
Azula, Flame of Ember Island;Diaochan, Artful Beauty
Azusa's Many Journeys // Likeness of the Seeker;Azusa's Many Journeys
Bala Ged Recovery // Bala Ged Sanctuary;Bala Ged Recovery
Balamb Garden, SeeD Academy // Balamb Garden, Airborne;Balamb Garden, SeeD Academy
Balin's Tomb;Ancient Tomb
Bane-Marked Leonin;Venomized Cat
Barkchannel Pathway // Tidechannel Pathway;Barkchannel Pathway
Bartolome del Presidio;Bartolomé del Presidio
Basil, Cabaretti Loudmouth;Flash Thompson, Spider-Fan
Battle at the Big Bridge;Fatal Push
Battle of Olympus;World at War
Bayo, Irritable Instructor;Electro, Assaulting Battery
Beanstalk Giant // Fertile Footsteps;Beanstalk Giant
Bedeck/Bedazzle;Bedeck // Bedazzle
Behold the Unspeakable // Vision of the Unspeakable;Behold the Unspeakable
Belion, the Parched;Hydro-Man, Fluid Felon
Besotted Knight // Betroth the Beast;Besotted Knight
Beyeen Veil // Beyeen Coast;Beyeen Veil
Bird Admirer // Wing Shredder;Bird Admirer
Birgi, God of Storytelling // Harnfel, Horn of Bounty;Birgi, God of Storytelling
Blackbloom Rogue // Blackbloom Bog;Blackbloom Rogue
Blightstep Pathway // Searstep Pathway;Blightstep Pathway
Bloodbender's Rise;Bloodchief Ascension
Bloodline Keeper // Lord of Lineage;Bloodline Keeper
Bloodsoaked Insight // Sanguine Morass;Bloodsoaked Insight
Bloomvine Regent // Claim Territory;Bloomvine Regent
Boggart Trawler // Boggart Bog;Boggart Trawler
Bonecrusher Giant // Stomp;Bonecrusher Giant
Boom / Bust;Boom // Bust
Boom/Bust;Boom // Bust
Borys, the Spider Rider;Scarlet Spider, Ben Reilly
Bottomless Pool/Locker Room;Bottomless Pool // Locker Room
Bound / Determined;Bound // Determined
Bramble Familiar // Fetch Quest;Bramble Familiar
Branchloft Pathway // Boulderloft Pathway;Branchloft Pathway
Brass's Tunnel-Grinder // Tecutlan, the Searing Rift;Brass's Tunnel-Grinder
Brazen Borrower // Petty Theft;Brazen Borrower
Bridgeworks Battle // Tanglespan Bridgeworks;Bridgeworks Battle
Brightcap Badger // Fungus Frolic;Brightcap Badger
Brightcap Badger // Fungus Frolic;Brightcap Badger
Brightclimb Pathway // Grimclimb Pathway;Brightclimb Pathway
Bruna, the Fading Light // Brisela, Voice of Nightmares;Bruna, the Fading Light
Brutal Cathar // Moonrage Brute;Brutal Cathar
Cactarantula Saddle;Spider-Suit
Caldaia Brawlers;Inner Demons Gangsters
Callous Sell-Sword // Burn Together;Callous Sell-Sword
Cam and Farrik, Havoc Duo;Hobgoblin, Mantled Marauder
Carlo, Suave Schemer;Prowler, Clawed Thief
Carriage of Dreams;Passenger Ferry
Cease/Desist;Cease // Desist
Centurion of the Marked;Lord of the Undead
Chandra, Fire of Kaladesh // Chandra, Roaring Flame;Chandra, Fire of Kaladesh
Chaos Emerald;Lotus Petal
Chaplain of Alms // Chapel Shieldgeist;Chaplain of Alms
Charred Foyer/Warped Space;Charred Foyer // Warped Space
Cheeky House-Mouse // Squeak By;Cheeky House-Mouse
Child of the Pack // Savage Packmate;Child of the Pack
Chizak, Apex Arachnosaur;Spider-Rex, Daring Dino
Chosen by Valgavoth;With Great Power . . .
Cirina Bargainspinner;Sun-Spider, Nimble Webber
Claim/Fame;Claim // Fame
Clandestine Work;Risky Research
Clay-Fired Bricks // Cosmium Kiln;Clay-Fired Bricks
Clearwater Pathway // Murkwater Pathway;Clearwater Pathway
Clive, Ifrit's Dominant // Ifrit, Warden of Inferno;Clive, Ifrit's Dominant
Commit/Memory;Commit // Memory
Concealing Curtains // Revealing Eye;Concealing Curtains
Confessor's Bindings;Rent Is Due
Conqueror's Galleon // Conqueror's Foothold;Conqueror's Galleon
Consign/Oblivion;Consign // Oblivion
Cosima, God of the Voyage // The Omenkeel;Cosima, God of the Voyage
Cragcrown Pathway // Timbercrown Pathway;Cragcrown Pathway
Crash, Reckless Endrider;Shriek, Treblemaker
Cren, Undercity Dreamer // Cren of the Spider Brood;Miles Morales
Cren, Undercity Dreamer;Miles Morales
Crime / Punishment;Crime // Punishment
Crime-Scene Instructor;Selfless Police Captain
Crime/Punishment;Crime // Punishment
Croft Manor;Command Tower
Cruel Caracals;Kraven's Cats
Cruel Somnophage // Can't Wake Up;Cruel Somnophage
Crystal Dragon // Rob the Hoard;Crystal Dragon
Crystal Fragments // Summon: Alexander;Crystal Fragments
Cybertron;Command Tower
Damning Caress;Venom's Hunger
Darkbore Pathway // Slitherbore Pathway;Darkbore Pathway
Darval, Whose Web Protects;Spider-Man, Web-Slinger
Data Scrubber;Mechanical Mobster
Dawn Warriors' Legacy;Mizzix's Mastery
Dazzling Theater // Prop Room;Dazzling Theater
Dead / Gone;Dead // Gone
Dead//Gone;Dead // Gone
Dead/Gone;Dead // Gone
Deathflame Burst;Electro's Bolt
Defiled Crypt/Cadaver Lab;Defiled Crypt // Cadaver Lab
Desecrex, Gift of Servitude;Carnage, Crimson Chaos
Detect Intrusion;Spider-Sense
Diligent Webkeepers;Web-Warriors
Dion, Bahamut's Dominant // Bahamut, Warden of Light;Dion, Bahamut's Dominant
Dirgur Island Dragon // Skimming Strike;Dirgur Island Dragon
Disciple of Freyalise // Garden of Freyalise;Disciple of Freyalise
Doc Ock, Armed and Dangerous;Lorthos, the Tidemaker
Docent of Perfection // Final Iteration;Docent of Perfection
Dol Amroth;Minamo, School at Water's Edge
Dollmaker's Shop/Porcelain Gallery;Dollmaker's Shop // Porcelain Gallery
Dormant Grove // Gnarled Grovestrider;Dormant Grove
Dorothea, Vengeful Victim // Dorothea's Retribution;Dorothea, Vengeful Victim
Dowsing Dagger // Lost Vale;Dowsing Dagger
Dowsing Device // Geode Grotto;Dowsing Device
Dracula's Tomb;Phyrexian Tower
Dread Linnorm // Scale Deflection;Dread Linnorm
Dreadfang, Loathed by Fans;Kraven, Proud Predator
Driven/Despair;Driven // Despair
Drix Interception;Amazing Acrobatics
Druneth, Reviver of the Hive;Jackal, Genius Geneticist
Dusk/Dawn;Dusk // Dawn
Duskwatch Recruiter // Krallenhorde Howler;Duskwatch Recruiter
Dwight o' Lantern;Reaper King
Earth Rumble Triumph;Return of the Wildspeaker
Eccentric Arachnologist;Guy in the Chair
Egrix the Bile Bulwark;Gwenom, Remorseless
Elesh Norn // The Argent Etchings;Elesh Norn
Elusive Otter // Grove's Bounty;Elusive Otter
Emeria's Call // Emeria, Shattered Skyclave;Emeria's Call
Emet-Selch, Ascian;K'rrik, Son of Yawgmoth
Endwalker;Brainstorm
Error-9, Viral Node;Living Brain, Mechanical Marvel
Esper Origins // Summon: Esper Maduin;Esper Origins
Exclusive Nightclub;Oscorp Industries
Eztli of the Thousand Moons;Starling, Aerial Ally
Fable of the Mirror-Breaker // Reflection of Kiki-Jiki;Fable of the Mirror-Breaker
Fang Dragon // Forktail Sweep;Fang Dragon
Fangorn Forest;Yavimaya, Cradle of Growth
Fateweaver;Radioactive Spider
Favored Fighter;Professional Wrestler
Fearsome Ridgeline;Daily Bugle Building
Fell the Profane // Fell Mire;Fell the Profane
Fire / Ice;Fire // Ice
Fire/Ice;Fire // Ice
Fizik, Etherium Mechanic;Iron Spider, Stark Upgrade
Foulmire Knight // Profane Insight;Foulmire Knight
Freestrider Aces;Wild Pack Squad
Freya, Queen of the Valkyries;Iroas, God of Victory
Full-Throttle Fanatic;Taxi Driver
Funeral Room/Awakening Hall;Funeral Room // Awakening Hall
Galvanized Workforce;Angry Rabble
Geier Reach Bandit // Vildin-Pack Alpha;Geier Reach Bandit
Generous Betty Wray;Silver Sable, Mercenary Leader
Ghost Lantern // Bind Spirit;Ghost Lantern
Giant Killer // Chop Down;Giant Killer
Giant of Babil;Traxos, Scourge of Kroog
Gigan, Cyberclaw Terror;Gyruda, Doom of Depths
Glasspool Mimic // Glasspool Shore;Glasspool Mimic
Glittering Caves of Aglarond;Gemstone Caverns
Goben, Gene-Splice Savant;Norman Osborn
Goro Rel, Scourge to Spiders;Spider-Slayer, Hatred Honed
Green Dragon Inn;Homeward Path
Greymond, Avacyn's Stalwart;Rick, Steadfast Leader
Grist, Voracious Larva // Grist, the Plague Swarm;Grist, Voracious Larva
Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun;Growing Rites of Itlimoc
Guardian Naga // Banishing Coils;Guardian Naga
Gwen Stacy // Ghost-Spider;Gwen Stacy
Hagra Mauling // Hagra Broodpit;Hagra Mauling
Halvar, God of Battle // Sword of the Realms;Halvar, God of Battle
Heartflame Duelist // Heartflame Slash;Heartflame Duelist
Hearth Elemental // Stoke Genius;Hearth Elemental
Hengegate Pathway // Mistgate Pathway;Hengegate Pathway
Henneth Annûn;Reflecting Pool
Henrika Domnathi // Henrika, Infernal Seer;Henrika Domnathi
Hide in Mundanity;Spider-Man No More
Hidetsugu Consumes All // Vessel of the All-Consuming;Hidetsugu Consumes All
Hinterland Logger // Timber Shredder;Hinterland Logger
Hope's Aero Magic;Cyclonic Rift
Horn of Valhalla // Ysgard's Call;Horn of Valhalla
Hound Tamer // Untamed Pup;Hound Tamer
Howlpack Piper // Wildsong Howler;Howlpack Piper
Howlpack Piper // Wildsong Howler;Howlpack Piper
Huntmaster of the Fells // Ravager of the Fells;Huntmaster of the Fells
Hydroelectric Specimen // Hydroelectric Laboratory;Hydroelectric Specimen
Imodane's Recruiter // Train Troops;Imodane's Recruiter
Incubation/Incongruity;Incubation // Incongruity
Insult/Injury;Insult // Injury
Invasion of Dominaria // Serra Faithkeeper;Invasion of Dominaria
Invasion of Gobakhan // Lightshield Array;Invasion of Gobakhan
Invasion of Ikoria // Zilortha, Apex of Ikoria;Invasion of Ikoria
Invasion of Karsus // Refraction Elemental;Invasion of Karsus
Invasion of New Capenna // Holy Frazzle-Cannon;Invasion of New Capenna
Invasion of Segovia // Caetus, Sea Tyrant of Segovia;Invasion of Segovia
Invasion of Tolvada // The Broken Sky;Invasion of Tolvada
Invasion of Zendikar // Awakened Skyclave;Invasion of Zendikar
Ishgard, the Holy See // Faith & Grief;Ishgard, the Holy See
Jace, Vryn's Prodigy // Jace, Telepath Unbound;Jace, Vryn's Prodigy
Janai and Hoppy, Roofskippers;Spider-Girl, Legacy Hero
Jecht, Reluctant Guardian // Braska's Final Aeon;Jecht, Reluctant Guardian
Jidoor, Aristocratic Capital // Overture;Jidoor, Aristocratic Capital
Jill, Shiva's Dominant // Shiva, Warden of Ice;Jill, Shiva's Dominant
Jin-Gitaxias // The Great Synthesis;Jin-Gitaxias
Joo Dee, Public Servant;Sakashima of a Thousand Faces
Joshua, Phoenix's Dominant // Phoenix, Warden of Fire;Joshua, Phoenix's Dominant
Jotun Owl Keeper;Jötun Owl Keeper
Jwari Disruption // Jwari Ruins;Jwari Disruption
Kabira Takedown // Kabira Plateau;Kabira Takedown
Katilda, Dawnhart Martyr // Katilda's Rising Dawn;Katilda, Dawnhart Martyr
Kavaero, Mind-Bitten;Superior Spider-Man
Kazandu Mammoth // Kazandu Valley;Kazandu Mammoth
Kazuo, Ruthless Rival;Shocker, Unshakable
Kazuul's Fury // Kazuul's Cliffs;Kazuul's Fury
Kellan, Inquisitive Prodigy // Tail the Suspect;Kellan, Inquisitive Prodigy
Kellan, the Fae-Blooded // Birthright Boon;Kellan, the Fae-Blooded
Kephon, Rage Incubator;Stegron the Dinosaur Man
Khalni Ambush // Khalni Territory;Khalni Ambush
Khenra Spellspear // Gitaxian Spellstalker;Khenra Spellspear
King of the Coldblood Curse;Lizard, Connors's Curse
Kitsune Mystic // Autumn-Tail, Kitsune Sage;Kitsune Mystic
