A Premonition of Your Demise;Scheme;C;0;Duskmourn: House of Horror Commander (Common);1
Aatchik, Emerald Radian;Legendary Creature — Insect Druid;B/G;6;Aetherdrift (Rare);1
Abandon Hope;Sorcery;B;2;Tempest (Uncommon);0
Abandoned Outpost;Land;C;0;Odyssey (Common);0
Abbey Gargoyles;Creature — Gargoyle;W;5;Fifth Edition (Uncommon)/Homelands (Uncommon)/Masters Edition II (Uncommon);0
Abbey Matron;Creature — Human Cleric;W;3;Homelands (Common);0
Abduction;Enchantment — Aura;U;4;Classic Sixth Edition (Uncommon)/Weatherlight (Uncommon);0
Aberrant;Creature — Tyranid Mutant;G;2;Warhammer 40,000 Commander (Uncommon);0
Abeyance;Instant;W;2;Weatherlight (Rare);0
Abhorrent Oculus;Creature — Eye;U;3;Duskmourn: House of Horror (Mythic Rare);0
Abiding Grace;Enchantment;W;3;Modern Horizons 2 (Uncommon);0
Abjure;Instant;U;1;Weatherlight (Common);0
Abolish;Instant;W;3;Prophecy (Uncommon)/Duel Decks: Elspeth vs. Tezzeret (Uncommon);0
Abomination;Creature — Horror;B;5;Fourth Edition (Uncommon)/Legends (Uncommon);0
Aboroth;Creature — Elemental;G;6;Weatherlight (Rare);0
Aboshan's Desire;Enchantment — Aura;U;1;Odyssey (Common);0
Aboshan, Cephalid Emperor;Legendary Creature — Octopus Noble;U;6;Odyssey (Rare);0
About Face;Instant;R;1;Urza's Legacy (Common);0
Abrade;Instant;R;2;Hour of Devastation (Uncommon)/Double Masters (Common)/Commander Legends (Uncommon)/Innistrad: Crimson Vow (Common)/Amonkhet Remastered (Uncommon)/Game Night: Free-For-All (Common)/The Brothers' War Commander (Uncommon)/Commander Masters (Common)/The Lost Caverns of Ixalan (Common)/Bloomburrow Commander (Common)/Magic: The Gathering Foundations (Uncommon)/Innistrad Remastered (Common)/Tarkir: Dragonstorm Commander (Uncommon);3
Abraded Bluffs;Land — Desert;C;0;Outlaws of Thunder Junction (Land);0
