________ Goblin;Legacy-Banned/Vintage-Banned/Oathbreaker-Banned/Pauper-Banned
Ad Nauseam;Oathbreaker-Banned
Aether Vial;Mirrodin Block-Banned
All That Glitters;Pauper-Banned
Amalia Benavides Aguirre;Pioneer-Banned
Amped Raptor;Modern-Banned
Amulet of Quoz;Legacy-Banned/Vintage-Banned/Commander-Banned/Oathbreaker-Banned/Ice Age Block-Banned/Premodern-Banned
Ancestral Recall;Legacy-Banned/Vintage-Restricted/Commander-Banned/Oathbreaker-Banned
Ancient Den;Modern-Banned/Mirrodin Block-Banned
Arcbound Ravager;Mirrodin Block-Banned
Arcum's Astrolabe;Legacy-Banned/Modern-Banned/Pauper-Banned
Atog;Pauper-Banned
Balance;Legacy-Banned/Vintage-Restricted/Commander-Banned/Oathbreaker-Banned/Premodern-Banned
Bazaar of Baghdad;Legacy-Banned
Biorhythm;Oathbreaker-Banned/Commander-Banned
Birthing Pod;Modern-Banned
Black Lotus;Legacy-Banned/Vintage-Restricted/Commander-Banned/Oathbreaker-Banned
Bloodstained Mire;Pioneer-Banned
Bonder's Ornament;Pauper-Banned
Brainstorm;Vintage-Restricted/Premodern-Banned
Bridge from Below;Modern-Banned
Bronze Tablet;Legacy-Banned/Vintage-Banned/Commander-Banned/Oathbreaker-Banned/Premodern-Banned
Chalice of the Void;Vintage-Restricted
Channel;Legacy-Banned/Vintage-Restricted/Commander-Banned/Oathbreaker-Banned/Premodern-Banned
Chaos Orb;Legacy-Banned/Vintage-Banned/Commander-Banned/Oathbreaker-Banned
Chrome Mox;Modern-Banned
Cid, Timeless Artificer;Relentless
Cleanse;Legacy-Banned/Vintage-Banned/Commander-Banned/Oathbreaker-Banned
Cloud of Faeries;Pauper-Banned
Cloudpost;Modern-Banned/Pauper-Banned
Contract from Below;Legacy-Banned/Vintage-Banned/Commander-Banned/Oathbreaker-Banned
Cori-Steel Cutter;Standard-Banned
Cranial Plating;Pauper-Banned
Crusade;Legacy-Banned/Vintage-Banned/Commander-Banned/Oathbreaker-Banned
Cursed Scroll;Tempest Block-Banned
Dark Depths;Modern-Banned
Dark Ritual;Oathbreaker-Banned
