Card_ID;Card_Name;Regular;Foil;Playset;Full playset;Faction;Rarity;Class;Subtype;Cost
GEN-001;HEX, CODEMANCER;;;0;0;Hacker;QR;Character;Iconic, Hacker;4
GEN-002;ADMIN;;;0;0;Hacker;C;Character;Hacker;1
GEN-003;CODER;;;0;0;Hacker;C;Character;Hacker;1
GEN-004;Script KIDDIE;;;0;0;Hacker;U;Character;Hacker;2
GEN-005;DEEP DIVER;;;0;0;Hacker;U;Character;Hacker;2
GEN-006;DIGITAL SPECTRE;;;0;0;Hacker;C;Character;Hacker;2
GEN-007;BLACK HAT;;;0;0;Hacker;U;Character;Hacker;3
GEN-008;PHANTOM OS;;;0;0;AI, Hacker;C;Character;AI, Hacker;2
GEN-009;ANIMA PROXY;;;0;0;Hacker;U;Character;Hacker;3
GEN-010;TAGGER;;;0;0;Hacker, anarchist;C;Character;Hacker, anarchist;2
GEN-011;SERIAL KILLER;;;0;0;Hacker;U;Character;Hacker;3
GEN-012;THE PRODIGY;;;0;0;Hacker;R;Character;Hacker;2
GEN-013;NOVA, THE WHITE RABBIT;;;0;0;wonderland, Hacker;R;Character;wonderland, Hacker;3
GEN-014;BLUE SCREEN OF DEATH;;;0;0;Hacker;U;Program;Script;5
GEN-015;OVERLOAD MK. I;;;0;0;Hacker;C;Program;Script;1
GEN-016;OVERLOAD MK. II;;;0;0;Hacker;C;Program;Script;3
GEN-017;SYSTEM ERROR;;;0;0;Hacker;R;Program;Protocol, Virus;4
GEN-018;QUANTUM ENCRYPTION;;;0;0;Hacker;U;Program;Script;3
GEN-019;THE NET;;;0;0;Hacker;QR;Program;Environment;4
GEN-020;THE GRID;;;0;0;Hacker;C;Program;Environment;2
GEN-021;HACKATHON;;;0;0;Hacker;C;Program;Script;2
GEN-022;PHISHING;;;0;0;Hacker;C;Program;Script;2
GEN-023;BINARY BLAST;;;0;0;Hacker;C;Program;Script, Drug;1
GEN-024;HYPERCLOCK;;;0;0;Hacker;R;Program;Script;1
GEN-025;FIREWALL;;;0;0;Hacker;U;Program;Protocol;2
GEN-026;STATIC BLAST;;;0;0;Hacker;C;Program;Script;2
GEN-027;CORTEX CRAB;;;0;0;Hacker;U;Gear;Cyberware;3
GEN-028;FATAL ERROR 75;;;0;0;Hacker;R;Program;Protocol, Trojan;2
GEN-029;RUBBER DUCKY;;;0;0;Hacker;U;Program;Protocol, Trojan;2
GEN-030;MEMORY LEAK;;;0;0;Hacker;C;Program;Protocol, Trojan;2
GEN-031;POWER SPIKE;;;0;0;Hacker;U;Program;Protocol, Trojan;2
GEN-032;REDIRECT;;;0;0;Hacker;U;Program;Protocol, Trojan;2
GEN-033;SCRAPPER;;;0;0;Cybernetic;C;Character;Cybernetic;1
GEN-034;DUMPSTER DIVER;;;0;0;Cybernetic;C;Character;Cybernetic;1
GEN-035;LUG NUT;;;0;0;Cybernetic, Animal;U;Character;Cybernetic, Animal;1
GEN-036;VIRTUAL KID;;;0;0;Cybernetic;C;Character;Cybernetic;1
GEN-037;BLACKOUT BOYS;;;0;0;Cybernetic;C;Character;Cybernetic;2
GEN-038;CRYOBLADE ASSASSIN;;;0;0;Cybernetic;U;Character;Cybernetic;2
GEN-039;THE PLUG;;;0;0;Cybernetic;C;Character;Cybernetic;2
GEN-040;IRON MAIDEN;;;0;0;Cybernetic, Thrasher;U;Character;Cybernetic, Thrasher;3
GEN-041;ROGUE VALKYRIE;;;0;0;Cybernetic, Mech;R;Character;Cybernetic, Mech;4
GEN-042;BOONYEN, WARDRIVER;;;0;0;Cybernetic, Animal;R;Character;Cybernetic, Animal;6
GEN-043;BACK ALLEY BRUISERS;;;0;0;Cybernetic;C;Character;Cybernetic;4
GEN-044;FACELESS ONI;;;0;0;Cybernetic;U;Character;Cybernetic;4
GEN-045;LASERSAW BERSERKER;;;0;0;Cybernetic;R;Character;Cybernetic;4
GEN-046;METAL HEAD;;;0;0;Cybernetic, Thrasher;QR;Character;Iconic, Cybernetic, Thrasher;5
GEN-047;ARC, CIRCUIT BREAKER;;;0;0;Cybernetic;QR;Character;Iconic, Cybernetic;5
GEN-048;EXTERMINATOR;;;0;0;Cybernetic;U;Character;Cybernetic;3
GEN-049;STIM PACK;;;0;0;Cybernetic;C;Program;Script, Drug;1
GEN-050;TIME;;;0;0;Raver;R;Program;Script, Drug;3
GEN-051;CLARITEX;;;0;0;Cybernetic;C;Program;Script, Drug;1
GEN-052;MEGAROIDS, KIWI KRUSH;;;0;0;Cybernetic;U;Program;Script, Drug;2
GEN-053;REDLINE;;;0;0;Cybernetic;R;Program;Script, Drug;2
GEN-054;FLUX CANNON;;;0;0;Cybernetic;C;Gear;Cyberware;2
GEN-055;SPINAL SPLITTER;;;0;0;Cybernetic;QR;Gear;Cyberware;3
GEN-056;RAILGUN;;;0;0;Cybernetic;U;Gear;Weapon;3
GEN-057;RIOT BLADE;;;0;0;Cybernetic;C;Gear;Cyberware;1
GEN-058;DRIVE SAW;;;0;0;Cybernetic;U;Gear;Cyberware;1
GEN-059;KNUX;;;0;0;Cybernetic;U;Gear;Cyberware;2
GEN-060;SNATCHER;;;0;0;Cybernetic;U;Gear;Cyberware;3
GEN-061;CLOAKING FIELD;;;0;0;Cybernetic;U;Gear;Cyberware;2
GEN-062;CODEBREAKER;;;0;0;Cybernetic;U;Gear;Cyberware;1
GEN-063;BLACK MARKET;;;0;0;Cybernetic;U;Program;Environment;2
GEN-064;MAX GAINZ;;;0;0;Cybernetic;C;Program;Environment;2
GEN-065;UNPAID INTERN;;;0;0;Corpo;U;Character;Corpo;0
GEN-066;EXECUTIVE;;;0;0;Corpo;C;Character;Corpo;1
GEN-067;TRUSTFUND BABY;;;0;0;Corpo;C;Character;Corpo;2
GEN-068;SEEKER DRONES;;;0;0;Corpo, Robot;C;Character;Corpo, Robot;1
GEN-069;ARMS DEALER;;;0;0;Corpo;C;Character;Corpo;1
GEN-070;ACPD DRONES;;;0;0;Corpo;C;Character;Corpo, Robot;3
GEN-071;RIOT POLICE;;;0;0;Corpo;C;Character;Corpo;2
GEN-072;BOARDROOM SHARK;;;0;0;Corpo;U;Character;Corpo;3
GEN-073;YES MAN;;;0;0;Corpo;U;Character;Corpo;2
GEN-074;VENTURE CAPITALIST;;;0;0;Corpo;R;Character;Corpo;4
GEN-075;GOKUDO SILENCER;;;0;0;Corpo;R;Character;Corpo;3
GEN-076;DEBT COLLECTOR;;;0;0;Corpo;U;Character;Corpo;2
GEN-077;ED, CARD COUNTER;;;0;0;Corpo, Gambler;R;Character;Iconic, Corpo, Gambler;2
GEN-078;NEOSEC FIRESTORM;;;0;0;Corpo, Mech;R;Character;Corpo, Mech;6
GEN-079;OMNIS DEATHBRINGER;;;0;0;Corpo;R;Character;Corpo, transport;5
GEN-080;MAXIMILLION GOLD;;;0;0;Corpo;QR;Character;Iconic, Corpo;5
GEN-081;DOWNLOAD MORE RAM;;;0;0;Corpo;U;Program;Script;3
GEN-082;GENERATIONAL WEALTH;;;0;0;Corpo;U;Program;Protocol;2
GEN-083;MARKET MANIPULATION;;;0;0;Corpo;QR;Program;Script;4
GEN-084;GENOCIDE;;;0;0;Corpo;U;Program;Script;5
GEN-085;TAX EVASION;;;0;0;Corpo;U;Program;Protocol;3
GEN-086;ARTIFICIAL INFLATION;;;0;0;Corpo;U;Program;Protocol;6
GEN-087;BAILOUT;;;0;0;Corpo;U;Program;Script;2
GEN-088;INSURANCE POLICY;;;0;0;Corpo;U;Program;Protocol;3
GEN-089;PROPAGANDA;;;0;0;Corpo, politician;U;Program;Script;4
GEN-090;OIL SPILL;;;0;0;Corpo;R;Program;Script;5
GEN-091;A-Z GLASS;;;0;0;Corpo;C;Gear;Cyberware;2
GEN-092;A-Z OPTICS;;;0;0;Corpo;U;Gear;Cyberware;2
GEN-093;SNEAKERHEAD;;;0;0;Corpo;U;Gear;Cyberware;3
GEN-094;CHRONOS MAESTRO;;;0;0;Corpo;U;Gear;Cyberware;4
GEN-095;YACHT PARTY;;;0;0;Corpo;C;Program;Environment;3
GEN-096;BOARDROOM;;;0;0;Corpo;U;Program;Environment;4
GEN-097;SCAVENGER;;;0;0;Dustrunner;C;Character;Dustrunner;1
GEN-098;CARTOGRAPHER;;;0;0;Dustrunner;C;Character;Dustrunner;1
GEN-099;CANYON STALKERS;;;0;0;Dustrunner, Animal;U;Character;Dustrunner, Animal;1
GEN-100;SAND SCORPION;;;0;0;Dustrunner;U;Character;Dustrunner;2
GEN-101;SEARCHER OF THE SKY;;;0;0;Dustrunner, Mystic;U;Character;Dustrunner, Mystic;2
GEN-102;BADLANDS SNIPER;;;0;0;Dustrunner;C;Character;Dustrunner;2
GEN-103;COYOTE RAIDERS;;;0;0;Dustrunner;C;Character;Dustrunner;2
GEN-104;BADLANDS MARAUDER;;;0;0;Dustrunner;U;Character;Dustrunner;3
GEN-105;DUST DEVIL VULTURES;;;0;0;Dustrunner;U;Character;Dustrunner, dust devil;3
GEN-106;DUST DEVIL ELITES;;;0;0;Dustrunner;R;Character;Dustrunner, dust devil;4
GEN-107;ECLIPSE DROPSHIP;;;0;0;Dustrunner;U;Character;Dustrunner, transport;3
GEN-108;ASHARA, HIGH PRIESTESS;;;0;0;Dustrunner;QR;Character;Iconic, Dustrunner;4
GEN-109;AEKANI PRIESTESS;;;0;0;Dustrunner;U;Character;Dustrunner, Mystic;3
GEN-110;BADLANDS INFANTRY;;;0;0;Dustrunner;C;Character;Dustrunner;1
GEN-111;DUST DEVIL INITIATE;;;0;0;Dustrunner;C;Character;Dustrunner, dust devil;2
