SVI;Scarlet & Violet
PAL;Scarlet & Violet–Paldea Evolved
OBF;Scarlet & Violet–Obsidian Flames
MEW;Scarlet & Violet–151
PAR;Scarlet & Violet–Paradox Rift
PAF;Scarlet & Violet–Paldean Fates
TEF;Scarlet & Violet–Temporal Forces
TWM;Scarlet & Violet–Twilight Masquerade
SFA;Scarlet & Violet–Shrouded Fable
SCR;Scarlet & Violet–Stellar Crown
SSP;Scarlet & Violet–Surging Sparks
PRE;Scarlet & Violet–Prismatic Evolution
JTG;Scarlet & Violet–Journey Together
DRI;Scarlet & Violet–Destined Rivals
BLK;Scarlet & Violet–Black Bolt
WHT;Scarlet & Violet–White Flare
MEG;Mega Evolution
PFL;Mega Evolution–Phantasmal Flames
