AOT;Attack on Titan
BCV;Black Clover
BLC;Bleach: Thousand-Year Blood War
CGH;Code Geass Lelouch of the Rebellion
CSM;Chainsaw Man
EVA;Evangelion: New Theatrical Edition
FMA;Fullmetal Alchemist
HTR;Hunter × Hunter
JJK;Jujutsu Kaisen
KGR;Kagurabachi
KJ8;Kaiju No. 8
KMY;Demon Slayer: Kimetsu no Yaiba
NIK;Goddess of Victory: Nikke
OPM;One-Punch Man
RLY;The 100 Girlfriends Who Really, Really, Really, Really, REALLY Love You
RNK;Rurouni Kenshin
SAO;Sword Art Online
SLG;Solo Leveling
SMD;Sakamoto Days
TKG;Tokyo Ghoul
TSK;That Time I Got Reincarnated as a Slime
YYH;Yu Yu Hakusho: Ghost Files
