Warhammer Invasion Core Set;Core
The Skavenblight Threat;Corruption Cycle
Path of the Zealot;Corruption Cycle
Tooth and Claw;Corruption Cycle
The Deathmaster's Dance;Corruption Cycle
The Warpstone Chronicles;Corruption Cycle
Arcane Fire;Corruption Cycle
Assault on Ulthuan;Deluxe
The Burning of Derricksburg;Enemy Cycle
The Fall of Karak Grimaz;Enemy Cycle
The Silent Forge;Enemy Cycle
Redemption of a Mage;Enemy Cycle
The Fourth Waystone;Enemy Cycle
Bleeding Sun;Enemy Cycle
March of the Damned;Deluxe
Omens of Ruin;Morrslieb Cycle
The Chaos Moon;Morrslieb Cycle
The Twin Tailed Comet;Morrslieb Cycle
Signs in the Stars;Morrslieb Cycle
The Eclipse of Hope;Morrslieb Cycle
Fiery Dawn;Morrslieb Cycle
Legends;Deluxe
The Inevitable City;Capital Cycle
Realm of the Phoenix King;Capital Cycle
The Iron Rock;Capital Cycle
Karaz-a-Karak;Capital Cycle
City of Winter;Capital Cycle
The Imperial Throne;Capital Cycle
Rising Dawn;Bloodquest Cycle
Fragments of Power;Bloodquest Cycle
The Accursed Dead;Bloodquest Cycle
Vessel of the Winds;Bloodquest Cycle
Portent of Doom;Bloodquest Cycle
Shield of the Gods;Bloodquest Cycle
Days of Blood;Eternal War Cycle
Oaths of Vengeance;Eternal War Cycle
Battle for the Old World;Eternal War Cycle
Glory of Days Past;Eternal War Cycle
The Ruinous Hordes;Eternal War Cycle
Faith and Steel;Eternal War Cycle
Cataclysm;Deluxe
Hidden Kingdoms;Deluxe
