# Card Name;Card Number-Rarity;Side;Neo-Standard Class;Type;Color;Traits;Level;Cost;Power;Trigger;Soul;Product;Own
"Behold My Masterpiece!" Nanami Hiromachi;BD/WE34-TE05-TD;Weiβ;BanG Dream!;Character;Yellow;Music/Morfonica;2;1;4500;Soul;1;BanG Dream! Girls Band Party [Morfonica];2
"Blue Sky Full of Stars" Mashiro Kurata;BD/WE34-TE17-TD|BD/WE34-TE17SP-SP;Weiβ;BanG Dream!;Character;Blue;Music/Morfonica;3;2;10500;Soul;2;BanG Dream! Girls Band Party [Morfonica];2
"Churakagi" Kuroyukihime;AW/S18-E003-R|AW/S18-E003S-SR;Schwarz;Accel・World;Character;Yellow;Student Council/Net;0;0;2000;;1;Accel・World;0
"Forsaking Talent" Mashiro Kurata;BD/WE34-TE16-TD;Weiβ;BanG Dream!;Character;Blue;Music/Morfonica;3;2;10000;Soul;2;BanG Dream! Girls Band Party [Morfonica];2
"Forsaking Talent" Rui Yashio;BD/WE34-TE15-TD;Weiβ;BanG Dream!;Character;Blue;Music/Morfonica;2;1;7000;Soul;1;BanG Dream! Girls Band Party [Morfonica];2
"Fufu, Leave It to Me!" Tsukushi Futaba;BD/WE34-TE10-TD|BD/WE34-TE10R-RRR;Weiβ;BanG Dream!;Character;Blue;Music/Morfonica;0;0;2000;;1;BanG Dream! Girls Band Party [Morfonica];2
"Full of Confidence" Tsukushi Futaba;BD/WE34-TE12-TD;Weiβ;BanG Dream!;Character;Blue;Music/Morfonica;1;0;4500;;1;BanG Dream! Girls Band Party [Morfonica];2
"Gaining Recognition" Rui Yashio;BD/WE34-TE09-TD;Weiβ;BanG Dream!;Character;Blue;Music/Morfonica;0;0;1000;;1;BanG Dream! Girls Band Party [Morfonica];4
"Normalcy Comes First" Nanami Hiromachi;BD/WE34-TE03-TD;Weiβ;BanG Dream!;Character;Yellow;Music/Morfonica;0;0;4000;;1;BanG Dream! Girls Band Party [Morfonica];4
"Pessimistic Girl" Mashiro Kurata;BD/WE34-TE13-TD|BD/WE34-TE13S-SR;Weiβ;BanG Dream!;Character;Blue;Music/Morfonica;1;0;5000;;1;BanG Dream! Girls Band Party [Morfonica];4
"Popular Girl" Toko Kirigaya;BD/WE34-TE04-TD;Weiβ;BanG Dream!;Character;Yellow;Music/Morfonica;1;0;2000;;1;BanG Dream! Girls Band Party [Morfonica];2
"Rejected Path" Rui Yashio;BD/WE34-TE11-TD|BD/WE34-TE11R-RRR;Weiβ;BanG Dream!;Character;Blue;Music/Morfonica;1;0;2500;;1;BanG Dream! Girls Band Party [Morfonica];2
"Special Announcement!" Toko Kirigaya;BD/WE34-TE06-TD|BD/WE34-TE06R-RRR;Weiβ;BanG Dream!;Character;Yellow;Music/Morfonica;3;2;9500;Soul;2;BanG Dream! Girls Band Party [Morfonica];2
"Trusted Class President" Mashiro Kurata;BD/WE34-TE14-TD;Weiβ;BanG Dream!;Character;Blue;Music/Morfonica;1;0;5500;;1;BanG Dream! Girls Band Party [Morfonica];2
"Trusted Class President" Toko Kirigaya;BD/WE34-TE02-TD;Weiβ;BanG Dream!;Character;Yellow;Music/Morfonica;0;0;2500;;1;BanG Dream! Girls Band Party [Morfonica];4
"Trusted Class President" Tsukushi Futaba;BD/WE34-TE08-TD;Weiβ;BanG Dream!;Character;Blue;Music/Morfonica;0;0;500;;1;BanG Dream! Girls Band Party [Morfonica];2
"Widening Horizon" Nanami Hiromachi;BD/WE34-TE01-TD|BD/WE34-TE01R-RRR;Weiβ;BanG Dream!;Character;Yellow;Music/Morfonica;0;0;1000;;1;BanG Dream! Girls Band Party [Morfonica];2
“... Annoying” Frima;NIK/S117-E042-U|NIK/S117-E042S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/Cafe Sweety;0;0;2500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“A Teacher's Grace” Marciana;NIK/S117-E053-C|NIK/S117-E053S-SR|NIK/S117-E053SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/Academia;2;1;500;Soul;1;Booster Pack GODDESS OF VICTORY: NIKKE;1
“AK Missile” Privaty;NIK/S117-TE01-TD|NIK/S117-TE01R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Triangle;0;0;500;;1;Trial Deck GODDESS OF VICTORY: NIKKE;2
“Altruism” Emma;NIK/S117-TE16-TD|NIK/S117-TE16R-RRR|NIK/S117-TE16SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Absolute;1;0;3500;;1;Trial Deck GODDESS OF VICTORY: NIKKE;2
“As Long As We're With Friends” Naga;NIK/S117-E003-RR|NIK/S117-E003S-SR|NIK/S117-E003SP-SP|NIK/S117-E003SSP-SSP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Dazzling Pearl;3;2;9000;Soul;2;Booster Pack GODDESS OF VICTORY: NIKKE;0
“AZX” Brid;NIK/S117-E090-R|NIK/S117-E090S-SR|NIK/S117-E090SP-SP|NIK/S117-PE09-PR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/Infinity Rail;1;0;4500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“BDG” Yuni;NIK/S117-E052-C|NIK/S117-E052S-SR|NIK/S117-E052SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/Wardress;2;0;5000;Soul;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“BOOM Install” Elegg;NIK/S117-E021-C|NIK/S117-E021S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Electric Shock;1;0;2500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Burning Scourge” Nihilister;NIK/S117-E077-C|NIK/S117-E077S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Heretic;2;1;2500;Soul;1;Booster Pack GODDESS OF VICTORY: NIKKE;1
“Busy Bee” Yulha;NIK/S117-TE04-TD|NIK/S117-TE04R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Triangle;0;0;1500;;1;Trial Deck GODDESS OF VICTORY: NIKKE;2
“Case Closed” Novel;NIK/S117-E047-C|NIK/S117-E047S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/Protocol;0;0;1000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;1
“Chastisement” D;NIK/S117-E040-U|NIK/S117-E040S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/Perilous Siege;0;0;500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“CIWS” Anchor;NIK/S117-E019-C|NIK/S117-E019S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Aegis;0;0;2000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Climax” Julia;NIK/S117-E107-C|NIK/S117-E107S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/Master Hand;1;0;3000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Colossal Single Cell” Ether;NIK/S117-E108-C|NIK/S117-E108S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/M.M.R.;1;0;3500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Crazy Jackal” Jackal;NIK/S117-E007-R|NIK/S117-E007S-SR|NIK/S117-E007SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Exotic;1;0;3000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;1
“Da Capo Aria” Aria;NIK/S117-E068-U|NIK/S117-E068S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Prima Donna;0;0;1000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Death Scythe” Harran;NIK/S117-E102-U|NIK/S117-E102S-SR|NIK/S117-E102SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/Inherit;2;2;6500;Soul;2;Booster Pack GODDESS OF VICTORY: NIKKE;1
“Double Boost” Liter;NIK/S117-E015-U|NIK/S117-E015S-SR|NIK/S117-E015SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Mighty Tools;2;1;3500;Soul;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Dragon of the Deep” Guillotine;NIK/S117-E035-R|NIK/S117-E035S-SR|NIK/S117-E035SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/Extrinsic;0;0;1000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Drake Special” Drake;NIK/S117-E020-C|NIK/S117-E020S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Matis;0;0;3500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Emergency Signal” Signal;NIK/S117-E076-C|NIK/S117-E076S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/The Scouts;1;1;4500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Fair and Square!” Moran;NIK/S117-E078-C|NIK/S117-E078S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Underworld Queen;2;2;6000;Soul;2;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Fat Cat” Yan;NIK/S117-E045-U|NIK/S117-E045S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/Talentum;1;0;4500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
