Adam Warlock;Aggression/Justice/Leadership/Protection;3;2
Angel;'Pool;1;1
Angel;Protection;1;1
Ant-Man;Aggression;2;2
Ant-Man;Justice;2;2
Ant-Man;Leadership;1;1
Ant-Man;Protection;1;1
Bishop;Aggression;1;1
Bishop;Leadership;1;0
Black Panther;Aggression;2;1
Black Panther;Justice;1;1
Black Panther;Protection;3;2
Black Widow;Aggression;1;1
Black Widow;Justice;3;2
Black Widow;Protection;1;1
Cable;Leadership;1;1
Captain America;Aggression;1;1
Captain America;Justice;2;2
Captain America;Leadership;2;2
Captain Marvel;Aggression;1;0
Captain Marvel;Justice;1;1
Captain Marvel;Leadership;3;2
Colossus;Protection;1;0
Cyclops;Leadership;2;1
Cyclops;Protection;2;0
Deadpool;'Pool;1;0
Domino;Justice;1;1
Dr. Strange;Aggression;2;2
Dr. Strange;Leadership;1;1
Dr. Strange;Protection;1;1
Drax;Justice;2;2
Drax;Protection;1;0
Gambit;Justice;1;0
Gamora;Aggression;1;1
Gamora;Protection;2;2
Ghost-Spider;Protection;1;1
Groot;Justice;1;0
Groot;Protection;1;0
Hawkeye;Aggression;1;0
Hawkeye;Leadership;6;5
Hulk;Aggression;1;0
Hulk;Justice;1;1
Hulk;Leadership;1;0
Hulk;Protection;1;1
Iceman;Aggression;1;0
Iron Man;Aggression;2;0
Iron Man;Justice;3;2
Iron Man;Leadership;2;2
Iron Man;Protection;2;2
Ironheart;Aggression;1;1
Ironheart;Leadership;1;1
Jubilee;Justice;1;0
Magik;Aggression;1;0
Ms. Marvel;Aggression;1;1
Ms. Marvel;Justice;1;1
Ms. Marvel;Protection;2;2
Nebula;Aggression;2;2
Nebula;Justice;1;1
Nebula;Leadership;2;1
Nebula;Protection;2;1
Nova;Aggression;1;1
Nova;Protection;1;1
Phoenix;Justice;1;0
Phoenix;Protection;1;1
Psylocke;Justice;1;1
Quicksilver;Aggression;1;1
Quicksilver;Justice;1;0
Quicksilver;Protection;1;1
Rocket Racoon;Aggression;6;1
Rocket Racoon;Justice;9;2
Rocket Racoon;Leadership;3;1
Rogue;Protection;1;0
Scarlet Witch;Justice;1;1
Scarlet Witch;Protection;2;2
Shadowcat;Aggression;1;0
Shadowcat;Protection;1;1
She-Hulk;Aggression;1;0
She-Hulk;Justice;3;1
She-Hulk;Protection;1;0
Sp//Dr;Aggression;1;1
Sp//Dr;Protection;1;1
Spectrum;Aggression;2;2
Spectrum;Justice;1;1
Spectrum;Leadership;1;0
Spectrum;Protection;1;0
Spider-Ham;Justice;1;1
Spider-Man (Miles Morales);Justice;1;1
Spider-Man;Aggression;3;3
Spider-Man;Justice;2;2
Spider-Man;Protection;2;2
Spider-Woman;Aggression/Justice;1;1
Spider-Woman;Aggression/Leadership;1;0
Spider-Woman;Aggression/Protection;1;1
Spider-Woman;Justice/Leadership;3;2
Spider-Woman;Justice/Protection;1;0
Spider-Woman;Leadership/Protection;4;1
Star-Lord;Leadership;1;1
Star-Lord;Protection;2;0
Storm;Aggression;1;1
Storm;Justice;1;1
Storm;Leadership;1;1
Storm;Protection;1;1
Thor;Aggression;1;1
Thor;Leadership;1;0
Thor;Protection;1;0
Valkyrie;Aggression;1;1
Valkyrie;Justice;1;1
Valkyrie;Leadership;1;0
Valkyrie;Protection;1;1
Venom;Aggression;2;2
Venom;Justice;1;0
Venom;Leadership;2;0
Venom;Protection;2;1
Vision;Aggression;1;1
Vision;Justice;1;1
Vision;Protection;2;2
War Machine;Aggression;2;2
War Machine;Justice;2;1
War Machine;Leadership;1;0
War Machine;Protection;2;1
Wasp;Aggression;1;0
Wasp;Leadership;1;1
Wolverine;Aggression;1;1
Wolverine;Protection;1;1
X-23;Aggression;1;0
